    0.305729857180387050E+02   -0.361452173800436705E-01    0.174784362813621177E+07   -0.292446250321181811E+01    0.352055941760540065E+02    0.140770708322525024E+03    0.799479436874389604E+00    0.248008087682723982E+03   -0.292367923432983131E+11   -0.599146350544150419E+01    1
    0.119783214249661949E+02    0.659422955888965268E-01    0.900675167461265111E+06   -0.237627279209240516E+01    0.841717433869838771E+02    0.166581026315689087E+03    0.858600616455078125E+00    0.642312618494033671E+02   -0.199382401436682167E+11   -0.599396350544151169E+01    1
    0.799623183987814912E+02   -0.308046688454793882E-02    0.242745377470797939E+05   -0.337726988657011074E+01    0.175695387721061724E+01    0.637629210948944092E+02    0.115584788322448739E+01    0.294713179820775963E+03   -0.713505768737407112E+10   -0.599646350544151474E+01    1
    0.946349006581318797E+01    0.163093453180341297E+00    0.671745955311252765E+05   -0.283837696638689119E+01    0.543016885459423122E+02    0.134688402414321899E+03    0.116660594940185547E+01    0.263826415824890148E+03   -0.511131260739208412E+10   -0.599896350544151957E+01    1
    0.777688472722353907E+02    0.325223780617458325E+00    0.705134328449870191E+04   -0.277411287614405300E+01    0.219210897684097326E+02    0.116136807203292847E+03    0.116273016929626460E+01    0.161845140194892878E+03   -0.478258016610096359E+10   -0.600146350544151552E+01    1
    0.183773599019696054E+01    0.128079531645287847E+00    0.687448794659737265E+06   -0.292971833816475957E+01    0.301847325742244763E+02    0.122790842056274414E+03    0.997691774368286044E+00    0.113461902409791932E+03   -0.425736392289233160E+10   -0.600396350544151858E+01    1
    0.173306467912687125E+02    0.752474372157752036E-02    0.450534965277169249E+05   -0.193798564642874083E+01    0.401686673164367747E+02    0.133989365100860596E+03    0.842176866531372026E+00    0.214147298526763905E+03   -0.318173871381302834E+10   -0.600646350544151630E+01    1
    0.898822301524370602E+02   -0.280457848651292807E+00    0.216626520815718250E+05   -0.186078975295594340E+01    0.395082354128360791E+02    0.104260425567626953E+03    0.101132121086120597E+01    0.420738761663436875E+02   -0.298267291481129217E+10   -0.600896350544152469E+01    1
    0.438882947265296366E+02   -0.495159485639176056E+00    0.100742603027423099E+08   -0.202554155663912283E+01    0.662887422561645536E+02    0.197458970546722412E+02    0.765312147140502885E+00    0.403695685863494802E+01   -0.277963743157823229E+10   -0.601146350544151886E+01    1
    0.522643306028967736E+01   -0.112622283292176995E+00    0.261705578900863940E+06   -0.308210000481357493E+01    0.656593988180160437E+02    0.584080624580383301E+02    0.125111317634582520E+01    0.923353929460048590E+02   -0.193090503653633046E+10   -0.601396350544150859E+01    1
    0.339187511515699995E+02   -0.255529822333388834E+00    0.279948533482890089E+05   -0.300635931373538501E+01    0.170183059811592123E+02    0.473557841777801514E+02    0.103248772621154794E+01    0.153153139412403078E+03   -0.137862550771924949E+10   -0.601646350544151520E+01    1
    0.669995089944238060E+02   -0.738952946778646758E+00    0.760361831150733083E+08   -0.206933935543129266E+01    0.780553245007991734E+02    0.125826072692871094E+02    0.138363528251647949E+01    0.287112027335166943E+03   -0.129760184979074860E+10   -0.601896350544151559E+01    1
    0.932484765182090882E+02   -0.314353642030137104E+00    0.563151830516759765E+04   -0.265518666232788325E+01    0.467342999398708372E+02    0.180286502838134766E+02    0.108775706291198726E+01    0.144262077808380099E+03   -0.111752259034779239E+10   -0.602146350544152753E+01    1
    0.478911399483543843E+01    0.552359277790099856E+00    0.102280167520327213E+05   -0.252797285222127632E+01    0.820448660075664549E+02    0.112113375663757324E+03    0.115099592208862300E+01    0.167203283351659763E+03   -0.972583448340367198E+09   -0.602396350544153325E+01    1
    0.876136471209347434E+01   -0.395279559490961052E+00    0.211540291487660212E+07   -0.221232004738545029E+01    0.776286842882633152E+02    0.559874761104583740E+02    0.125758943557739267E+01    0.662921383917331610E+02   -0.944673465740417600E+09   -0.602646350544152298E+01    1
    0.330036353810451155E+00    0.123431987436408097E+00    0.352747627388697444E+07   -0.204871608550057616E+01    0.405236093461513533E+02    0.557700884342193604E+02    0.146370472908020011E+01    0.104156130760908113E+03   -0.939473172082855105E+09   -0.602896350544150561E+01    1
