

    0.167191890685476118E-97    0.174996005010190565E+05    0.218051963937236870E+01   -0.821757123021320979E+00    0.336503522561510282E+01   -0.182540352927099914E+01    0.818011921086386451E+02    0.136683026225962312E+02    0.106877878592095285E+00
    0.129681328711336454E-94    0.174861931146117677E+05    0.323821336289576589E+01   -0.642740786845690693E+00    0.427798435342682026E+01   -0.185653774536293703E+01    0.816156020582096176E+02    0.356795877608538063E+02    0.100511999710359026E+00
    0.209290511764015350E-93    0.174805306580822071E+05    0.247494062850073338E+01   -0.868237647620523134E+00    0.228043064289360053E+01   -0.181440048030496159E+01    0.939695205459942002E+02    0.442054935638340183E+02    0.101901599542738849E+00
    0.361210724921999738E-93    0.174793391816455296E+05    0.273940295864323602E+01   -0.782633777710518563E+00    0.373593860206691808E+01   -0.193774472573726686E+01    0.839027371142958884E+02    0.968494145629341929E+01    0.102230038149077787E+00
    0.417850058082871542E-90    0.174651323488038142E+05    0.269164459345004836E+01   -0.844837341907145767E+00    0.263432885907461811E+01   -0.189167329977563159E+01    0.933694973547927134E+02    0.334703782870174820E+02    0.103800343128741687E+00
    0.201402613878935463E-84    0.174388609610813000E+05    0.370015826920660373E+01   -0.756317725233607963E+00    0.264799868149339623E+01   -0.181864077639381727E+01    0.667421462271919239E+02    0.621582653762113324E+02    0.102499550196130218E+00
    0.126634210569259193E-82    0.174304786272290730E+05    0.241633157156967338E+01   -0.745177654260242184E+00    0.367944413438811768E+01   -0.181602796248182585E+01    0.826867070422503048E+02    0.195968280193901272E+02    0.103192908795156135E+00
    0.101126350142593950E-77    0.174078026402438445E+05    0.396528744342649597E+01   -0.564420153248720635E+00    0.528292447582235525E+01   -0.186491849797619902E+01    0.874125451612681843E+02    0.211320027340831196E+02    0.104387617580663603E+00
    0.236503120756805440E-76    0.174013982887040183E+05    0.378018761403998083E+01   -0.633315267504594437E+00    0.487841946548856509E+01   -0.190478054403012864E+01    0.718136890714530125E+02    0.146399637108620961E+02    0.104903713248573838E+00
    0.303498873781168374E-73    0.173869839451534754E+05    0.699866297003274784E+01   -0.609322671667573923E+00    0.300374243158830367E+01   -0.186575547209741455E+01    0.742599690568688970E+02    0.873191727646081972E+02    0.100153778281099629E+00
    0.901787194468650548E-73    0.173847059438210854E+05    0.323276372606872231E+01   -0.707813256757110820E+00    0.334173957544294398E+01   -0.180552718852261407E+01    0.661790892624945428E+02    0.467274656331206373E+02    0.101612306329617041E+00
    0.441307457410606562E-72    0.173814300471372044E+05    0.233262269007303624E+01   -0.673937709001209750E+00    0.504828661761693809E+01   -0.184190165951063123E+01    0.874251489350155850E+02    0.129288059340227743E+02    0.103664981150321064E+00
    0.273092808734098370E-71    0.173776847371886543E+05    0.739302183603293273E+01   -0.616108904397260293E+00    0.299463248690565731E+01   -0.187285208360980748E+01    0.826814551278183956E+02    0.619682056589371300E+02    0.101152971177411635E+00
    0.200194161166816285E-69    0.173689954448060598E+05    0.252722412572699096E+01   -0.821038564807105242E+00    0.342174224938822391E+01   -0.190286903207041758E+01    0.670371897484033923E+02    0.307865613539407370E+02    0.104582657841375742E+00
    0.395291050245149840E-69    0.173675347755496987E+05    0.377922204127389794E+01   -0.712823810052791940E+00    0.310867967951770252E+01   -0.184689858857568856E+01    0.645300315588640103E+02    0.467716386210317694E+02    0.102321340694254845E+00
    0.158566838333866780E-66    0.173554461572562286E+05    0.396895012498742039E+01   -0.791268743793997364E+00    0.276871240578516264E+01   -0.192424515208982339E+01    0.847972949896587238E+02    0.246508516796119004E+02    0.102041828620316882E+00
    0.436425985769631369E-65    0.173487161018691259E+05    0.553594398394390552E+01   -0.692555158944055171E+00    0.290563239056281875E+01   -0.189761391834337045E+01    0.660279537570231980E+02    0.701614449455612572E+02    0.100844716274762242E+00
    0.521651717049277885E-63    0.173390489987800756E+05    0.157083900998888470E+01   -0.787323578007549818E+00    0.471008617308175470E+01   -0.180758000204034763E+01    0.803379600579016824E+02    0.452620571768993063E+01    0.101468581676196698E+00
    0.132366937772368645E-60    0.173278763327398592E+05    0.433803380451625475E+01   -0.553703112010272225E+00    0.510544664291042949E+01   -0.187434123509948680E+01    0.979675432333383469E+02    0.153963273345576219E+02    0.104471935947168401E+00
    0.516542628235393151E-60    0.173250531728989954E+05    0.612853827073396307E+01   -0.548994987718400385E+00    0.409591351219905420E+01   -0.184921541225786434E+01    0.754073649229696628E+02    0.684984381610471189E+02    0.100206211813338567E+00
    0.247018470198611966E-59    0.173218233921251594E+05    0.166200757067222060E+01   -0.848628068995229690E+00    0.368389370584137144E+01   -0.181360064712896207E+01    0.785299543752506821E+02    0.502519463713016368E+01    0.101839292258927072E+00
    0.357550532492307917E-58    0.173163785947595534E+05    0.442350489000880298E+01   -0.695400922419348255E+00    0.326399000021959784E+01   -0.186926947338937155E+01    0.795389273469428417E+02    0.386015353081573167E+02    0.101706292230852313E+00
