    0.198452097680454798E+00   -0.965201876553567706E+00    0.913938314709401311E+03   -0.354324464958853991E+01    0.239903847217864694E+02    0.126238728553016543E+03    0.161247025407108353E+02   -0.428408783686534298E+04
    0.200469341824887459E+00   -0.970573994809835972E+00    0.900688302479755407E+03   -0.351440083544419535E+01    0.590446481340797789E+02    0.568990396932998550E+02    0.152778938401157021E+02   -0.428301785810844740E+04
    0.201333431610938030E+00   -0.970540945532921695E+00    0.909468484492755465E+03   -0.346715021989805550E+01    0.252393497411292635E+02    0.161897217344086812E+03    0.152356641640898420E+02   -0.428139943607223904E+04
    0.199422098173461709E+00   -0.972538151297030584E+00    0.932815150300594155E+03   -0.387402935195353804E+01    0.256894492104813281E+02    0.116514417421254805E+03    0.163596639093061107E+02   -0.428131603230578457E+04
    0.199961653499579395E+00   -0.963028260499118716E+00    0.896394931522505203E+03   -0.398187944519536208E+01    0.317763739464849841E+02    0.139266586789817012E+03    0.165045311466708284E+02   -0.428130389006264886E+04
    0.199768369848046912E+00   -0.971821424012809576E+00    0.904975381348142264E+03   -0.399728666382456499E+01    0.376565276232359167E+02    0.502680216067955143E+02    0.146364273054446876E+02   -0.428115385276353391E+04
    0.198184104875946593E+00   -0.981759073666036874E+00    0.933356178836265599E+03   -0.362262580484249819E+01    0.286902499903031725E+02    0.160932891818330489E+03    0.158243220606912818E+02   -0.428113432947502861E+04
    0.201551457438697373E+00   -0.966665596669862071E+00    0.887680307358093387E+03   -0.355588129624076243E+01    0.356754023308861221E+02    0.494164469496193206E+02    0.157451742924791311E+02   -0.428071944626885033E+04
    0.198210426374257370E+00   -0.980157692265043679E+00    0.925166864306806247E+03   -0.363734858502648706E+01    0.468375536476032028E+01    0.665477074227344616E+02    0.148956769726236793E+02   -0.428019142476945854E+04
    0.202109101054091189E+00   -0.961492607206203775E+00    0.874005673342663954E+03   -0.323008010776343202E+01    0.439692680280921238E+02    0.134316840546413403E+03    0.151788836004478185E+02   -0.428005870491617316E+04
    0.201193913263128493E+00   -0.961205726612006872E+00    0.885615933911151615E+03   -0.351796538057783836E+01    0.300831611499759930E+02    0.123314546590050796E+03    0.167728361687287268E+02   -0.427955831709121958E+04
    0.202528355181169406E+00   -0.965388985882262407E+00    0.882018372839665403E+03   -0.354925234635022857E+01    0.312787287093803212E+00    0.779361748638581133E+02    0.156229224680514296E+02   -0.427890854636151198E+04
    0.200804110573002403E+00   -0.973024624061312959E+00    0.898390095548232580E+03   -0.335316979802277482E+01    0.417912054246959315E+02    0.100871911281711320E+03    0.153669118943784753E+02   -0.427882639010138519E+04
    0.201306728231114451E+00   -0.958748978652556705E+00    0.886471317584704138E+03   -0.373659042905780847E+01    0.316005846088864644E+02    0.974541059740838591E+02    0.145106531305640107E+02   -0.427882063909910357E+04
    0.201206333401769466E+00   -0.961927946258165356E+00    0.885027388328116331E+03   -0.347160581722473216E+01    0.341510193366084138E+02    0.683224520172032896E+02    0.158615473954512307E+02   -0.427867206438693574E+04
