    0.598955795595812290E+02    0.201677467764019902E+00    0.125755591218337999E+07   -0.314009755019799242E+01    0.269549619615077987E+02    0.165092024803161621E+03    0.248805689501762373E+03   -0.815775173407195892E+11   -0.599146350544150419E+01    1
    0.384934531494237930E+02    0.346138674247472189E+00    0.238779959188470704E+06   -0.314030284400924886E+01    0.448275427103042645E+02    0.133153535127639771E+03    0.104454936498403541E+03   -0.699181524106286469E+11   -0.599396350544151169E+01    1
    0.606960610214554990E+02    0.905108582309055665E+00    0.152588311375184639E+05   -0.405135174497258177E+01    0.731508913159370451E+02    0.718466484546661377E+02    0.691733262538909788E+01   -0.469470704294315414E+11   -0.599646350544151474E+01    1
    0.215119189278326601E+02    0.161520657186123573E+00    0.133496956398557778E+07   -0.265625229257562889E+01    0.887258617281913686E+01    0.172270538806915283E+03    0.100958180052041996E+03   -0.229604236738303185E+11   -0.599896350544151957E+01    1
    0.342729422235303005E+02    0.740085534243986598E-01    0.168788066251256643E+07   -0.252536468378664924E+01    0.880975359737873021E+02    0.173539856672286987E+03    0.343153381943702662E+01   -0.218062828251011810E+11   -0.600146350544151552E+01    1
    0.902006634811389674E+01    0.574233289504984645E+00    0.721246843937608792E+05   -0.300005165498511417E+01    0.593731753408908887E+02    0.133740241527557373E+03    0.149480292075872399E+03   -0.184340324917009468E+11   -0.600396350544151858E+01    1
    0.762669289390871796E+02    0.305646731226239532E-01    0.646249434092727824E+05   -0.260828159294007600E+01    0.848521169245243101E+02    0.741498613357543945E+02    0.105461913263797740E+03   -0.103068009968184395E+11   -0.600646350544151630E+01    1
    0.716477990238049500E+01    0.354878364411511937E+00    0.125333683888538711E+06   -0.242019867684865275E+01    0.382068606972694411E+02    0.133584641218185425E+03    0.219253827089071251E+03   -0.827555642052042294E+10   -0.600896350544152469E+01    1
    0.213603889099176314E+02    0.897438753175852089E-01    0.201798612205442740E+06   -0.315122896159973775E+01    0.275232717335224173E+02    0.227367424964904785E+02    0.280228448355197884E+03   -0.823328026317777634E+10   -0.601146350544151886E+01    1
    0.118257991383817558E+02    0.390190081982170811E+00    0.245712241368643263E+05   -0.161425940426076919E+01    0.909656597852706881E+02    0.324197101593017578E+02    0.390079534053802490E+02   -0.309934078086173677E+10   -0.601396350544150859E+01    1
    0.810173619573212420E+02   -0.231532812477040856E+00    0.398169849179815428E+05   -0.361991239833007006E+01    0.516072992980480265E+02    0.532842600345611572E+02    0.194504861134290678E+03   -0.261736806081845760E+10   -0.601646350544151520E+01    1
    0.751915686353640211E+02   -0.566686090529124553E+00    0.518136425383446680E+06   -0.261306459232534039E+01    0.821326889872550936E+02    0.748312926292419434E+02    0.394059039950370771E+01   -0.129990434616458941E+10   -0.601896350544151559E+01    1
